person,claim,source_url,verdict
paul_singer,"Argentina sovereign debt ($2.4B, seized navy vessel); Congo sovereign debt; activist campaigns (AT&T, Twitter, etc)",https://www.mercopress.com/2012/10/22/argentine-navy-vessel-held-in-ghana-by-court-order-following-a-claim-from-us-bondholders,TRUE
penny_pritzker,Superior Bank failure (FDIC lawsuit settled ~$460M),https://www.chicagobusiness.com/article/20010714/NEWS01/10001019/superior-bank-s-collapse,TRUE
peter_guber,Sony/Columbia Pictures $1B breach of contract litigation with Warner Bros (1989); settled with Sony ceding $400-600M in assets,https://www.nytimes.com/1989/11/21/business/warner-sues-sony-seeking-1-billion-over-guber-deal.html,TRUE
peter_thiel,"Funded Hulk Hogan v. Gawker (bankrupted Gawker); $5B Roth IRA controversy (from $1,700 initial investment)",https://www.propublica.org/article/lord-of-the-roths-how-tech-mogul-peter-thiel-turned-a-retirement-account-into-a-5-billion-dollar-tax-free-piggy-bank,PARTIAL
phil_knight,Onitsuka Tiger distribution rights lawsuit (1970s); FBI/Customs investigation (1970s-80s),https://www.nytimes.com/2016/04/27/business/phil-knight-shoe-dog-nike.html,PARTIAL
phil_shawe,TransPerfect ownership court battle; Delaware Chancery ordered modified auction; Shawe bought Elting's shares for $385M,https://www.reuters.com/article/us-transperfect-auction/transperfect-co-founder-shawe-wins-court-ordered-auction-idUSKBN1HQ2SV,TRUE
phillip_frost,SEC pump-and-dump scheme accusation (2018); settled for $5.5M,https://www.sec.gov/newsroom/press-releases/2018-182,TRUE
rakesh_gangwal,"Dispute with co-founder Rahul Bhatia over IndiGo corporate governance 2019; courts in London, Florida, Maryland",https://www.reuters.com/article/us-indigo-airlines-governance/indigo-airlines-gangwal-escalates-fight-with-co-founder-bhatia-idUSKCN1UC1E1,TRUE
ray_dalio,Employee compensation forfeiture and non-compete disputes,https://www.wsj.com/articles/bridgewater-associates-sued-by-former-employee-over-non-compete-11639068001,PARTIAL
reid_hoffman,,,FALSE
richard_fairbank,CFPB investigations into Capital One lending practices,https://www.consumerfinance.gov/enforcement/actions/capital-one-bank/,TRUE
richard_kinder,Enron-related (left Enron 1996 before fraud; not charged),https://www.nytimes.com/2002/02/06/business/enron-s-collapse-the-overview.html,TRUE
richard_peery,,,FALSE
richard_saghian,Fashion Nova FTC $4.2M settlement for suppressing negative reviews (2022),https://www.ftc.gov/news-events/news/press-releases/2022/01/fashion-nova-will-pay-42-million-part-settlement-ftc-allegations-it-blocked-negative-reviews,TRUE
rick_smith,"Multiple wrongful death/injury lawsuits related to Taser use (442+ lawsuits, Axon named defendant in 128 cases)",https://www.reuters.com/investigates/special-report/usa-taser-911/,TRUE
robert_kraft,2019 massage parlor arrest; charges dropped Sep 2020 (hidden cameras violated rights),https://www.nbcnews.com/news/crime-courts/robert-kraft-prostitution-charges-dropped-florida-prosecutors-n1240964,TRUE
robert_pera,SEC investigation into business practices; closed 2020 with no action,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&company=ubiquiti&type=10-K,PARTIAL
robert_smith,DOJ/IRS tax evasion non-prosecution agreement; $139M settlement (2020),https://www.justice.gov/archives/opa/pr/private-equity-ceo-enters-non-prosecution-agreement-international-tax-fraud-scheme-and-agrees,TRUE
ronald_perelman,Morgan Stanley and Scientific Games litigation; Revlon-related Citigroup disputes,https://www.nytimes.com/2009/08/06/business/06revlon.html,PARTIAL
ronald_wanek,Lawsuit with former executive Chuck Vogel over Ashley Furniture,https://www.furnituretoday.com/business-news/ashley-furniture-founder-settles-suit-with-former-associate/,PARTIAL
rupert_murdoch,Dominion $787.5M settlement (2023); Trump $20B lawsuit; UK phone hacking scandal (News of the World shut 2011),https://www.nytimes.com/2023/04/18/business/fox-news-dominion-settlement.html,PARTIAL
s_curtis_johnson,"Pleaded guilty to misdemeanor sexual assault of stepdaughter; 4 months jail, $6,000 fine (2014)",https://www.nbcnews.com/news/crime-courts/wisconsin-billionaire-pleads-guilty-sexual-assault-charge-n124951,TRUE
safra_catz,Oracle shareholder derivative suit over NetSuite acquisition,https://www.reuters.com/legal/litigation/oracle-founder-ellison-wins-ruling-netsuite-deal-lawsuit-2025-01-30/,PARTIAL
sam_altman,Elon Musk lawsuit against OpenAI (2024) alleging breach of founding nonprofit mission; trial set April 2026,https://www.courtlistener.com/docket/68194882/musk-v-altman/,TRUE
scott_cook,FTC scrutiny over TurboTax 'Free' File deceptive marketing,https://www.ftc.gov/news-events/news/press-releases/2022/03/ftc-sues-intuit-its-deceptive-turbotax-free-filing-campaign,TRUE
scott_watterson,iFIT vs Peloton patent infringement lawsuits since 2016; settled May 2022,https://www.reuters.com/legal/litigation/peloton-ifit-settle-patent-dispute-2022-05-02/,TRUE
sean_parker,Napster RIAA copyright infringement lawsuits; Napster bankrupt 2002,https://www.riaa.com/resources-learning/case-studies/#napster,TRUE
sergey_brin,"DOJ antitrust (search monopoly + ad-tech), same as Larry Page",https://www.justice.gov/atr/case/us-and-plaintiff-states-v-google-llc-2020,TRUE
shahid_khan,Co-defendant in St. Louis Rams relocation lawsuit (as NFL owner),https://www.stltoday.com/sports/football/nfl-relocation-lawsuit/,PARTIAL
stanley_kroenke,St. Louis Rams relocation lawsuit; settled 2021 for ~$790M,https://www.nfl.com/news/790m-settlement-reached-in-lawsuit-over-rams-st-louis-departure,TRUE
stefan_soloviev,,,FALSE
stephen_ross,,,FALSE
stephen_schwarzman,Carried interest tax treatment debates,https://www.nytimes.com/2017/11/08/business/dealbook/carried-interest-tax-loophole.html,PARTIAL
stephen_winn,DOJ antitrust lawsuit alleging RealPage algorithmic price-fixing in rental market,https://www.justice.gov/opa/pr/justice-department-requires-realpage-end-sharing-competitively-sensitive-information-and,TRUE
steve_ballmer,"Kai-Fu Lee non-compete (Microsoft sued Google/Lee July 2005, settled Dec 2005)",https://news.microsoft.com/2005/07/19/statement-from-microsoft-regarding-legal-action-against-google-and-a-former-executive/,TRUE
steve_cohen,SAC Capital insider trading ($1.8B fine); Cohen banned from managing outside money (2016-2018); multiple employee convictions,https://www.justice.gov/usao-sdny/pr/manhattan-us-attorney-announces-guilty-plea-agreement-sac-capital-management-companies,PARTIAL
steve_wynn,Resigned Feb 2018 amid sexual misconduct allegations; $7.5M settlement with former employee; sold all shares (~$2.1B),https://www.npr.org/2018/03/15/592318034/after-sexual-misconduct-claims-vegas-mogul-steve-wynn-fell-fast,TRUE
steven_sarowitz,Co-defendant in Blake Lively Dec 2024 lawsuit re 'It Ends with Us',https://chicago.suntimes.com/movies-and-tv/2024/12/22/blake-lively-steve-sarowitz-justin-baldoni-it-ends-with-us-sexual-harassment-smear-campaign-lawsuit,TRUE
stewart_resnick,Water rights disputes via Kern Water Bank; multiple lawsuits over Monterey Agreement,https://www.cbsnews.com/news/los-angeles-wildfires-stewart-resnick-lynda-resnick-water-rights/,TRUE
sundar_pichai,DOJ v. Google antitrust cases (filed Oct 2020; monopoly ruling Aug 2024; ongoing),https://www.justice.gov/atr/case/us-and-plaintiff-states-v-google-llc-2020,TRUE
t_denny_sanford,"Child pornography investigation (closed, no charges brought)",https://www.propublica.org/article/denny-sanford-child-porn-no-charges,TRUE
taylor_swift,Masters dispute with Scooter Braun; Ticketmaster Senate hearing Jan 2023,https://www.congress.gov/event/118th-congress/senate-event/333501/text,TRUE
thai_lee,,,FALSE
thomas_duff,"Murder plot against Tom Duff (November 2016, three arrested)",https://www.wdam.com/story/34066423/money-motive-in-duff-murder-for-hire-plot-charges-detailed/,TRUE
thomas_frist_jr,HCA $1.7B Medicare fraud settlement (2000-2003),https://www.justice.gov/archive/opa/pr/2003/June/03_civ_386.htm,TRUE
thomas_peterffy,,,FALSE
thomas_pritzker,Stepped down as Hyatt Executive Chairman Feb 2026 over Epstein association scrutiny,https://www.pbs.org/newshour/nation/thomas-pritzker-steps-down-from-hyatt-board-saying-he-deeply-regrets-association-with-epstein,TRUE
tiger_woods,2017 DUI arrest,https://www.espn.com/golf/story/_/id/19490176/tiger-woods-arrested-dui-florida,TRUE
tilman_fertitta,Sued by minority shareholders during Landry's privatization (2009-2010),https://www.blbglaw.com/cases-investigations/landrys-restaurants-inc,TRUE
tim_sweeney,Epic v Apple (2020-2024) -- challenged App Store 30% commission; partial victory on anti-steering,https://cdn.ca9.uscourts.gov/datastore/opinions/2025/12/11/25-2935.pdf,TRUE
tom_preston_werner,GitHub harassment allegations (2014); investigation found no harassment but errors of judgment; resigned,https://github.blog/2014-04-21-results-of-the-github-investigation/,TRUE
tope_awotona,,,FALSE
travis_kalanick,"Forced out as Uber CEO June 2017 (sexual harassment culture, Waymo trade secrets lawsuit, 'Greyball' enforcement evasion)",https://www.cnbc.com/2017/06/21/uber-timeline-why-did-ceo-travis-kalanick-leave.html,TRUE
ty_warner,Tax evasion guilty plea (2013); ~$80M in fines and penalties; hid $100M+ in Swiss accounts,https://www.justice.gov/usao-ndil/pr/h-ty-warner-sentenced-probation-after-paying-80-million-taxes-and-penalties-tax-evasion,PARTIAL
tyler_winklevoss,Facebook/Zuckerberg lawsuit; settled for $65M (Feb 2008),https://cdn.ca9.uscourts.gov/datastore/opinions/2011/04/11/08-16745.pdf,TRUE
vincent_mcmahon,"Janel Grant lawsuit (Jan 2024, sexual trafficking/abuse allegations; McMahon resigned TKO chairman; $3M NDA)",https://www.nbcnews.com/news/us-news/wwe-founder-vince-mcmahon-resigns-ex-employee-accuses-lawsuit-sexual-a-rcna135981,TRUE
vinod_khosla,Martin's Beach access dispute; courts ruled against him through US Supreme Court denial,https://www.surfrider.org/news/us-supreme-court-finalizes-win-for-martins-beach-access,TRUE
vlad_tenev,GameStop/meme stock controversy (Jan 2021); Congressional testimony; $70M FINRA fine for outages and misleading customers,https://www.cnbc.com/2021/06/30/robinhood-to-pay-70-million-for-misleading-customers-and-outages-the-largest-finra-penalty-ever.html,PARTIAL
walter_wang,JM Eagle faced False Claims Act lawsuit over pipe quality/defects (2006-2020),https://www.enr.com/articles/9745-jury-finds-pipemaker-jm-eagle-liable-in-false-claims-suit,TRUE
warren_buffett,"Salomon Brothers scandal (1991, stepped in as interim chairman to save firm)",https://fortune.com/article/warren-buffett-salomon/,TRUE
weili_dai,Marvell internal accounting investigation (2016); no fraud found,https://www.sec.gov/litigation/litreleases/lr-20559,TRUE
william_ackman,Valeant/Allergan insider trading ($290M settlement); MBIA short-selling investigation,https://www.ktmc.com/news/kessler-topaz-represents-investors-in-290-million-total-settlement-recovery-reached-with-valeant-pharmaceuticals-and-bill-ackmans-pershing-square-over-insider-trading-claims,PARTIAL
william_austin,Former Starkey president convicted of fraud (2018); Austin was victim of the fraud,https://hearingreview.com/inside-hearing/industry-news/starkey-trial-ends-7-year-prison-term-ruzicka-ex-execs-sentenced,PARTIAL
william_koch,~18-year legal battle with brothers Charles and David Koch over Koch Industries stake,https://law.justia.com/cases/federal/district-courts/FSupp/969/1460/1808056/,TRUE
william_wrigley_jr,Parallel cannabis company embroiled in investor lawsuits,https://www.chicagobusiness.com/cannabis/william-wrigley-jr-cannabis-investor-lawsuit-moves-forward,TRUE
